Town,YearMonth,Rainfall_mm
Kisumu,2022-11,135.3
Kisumu,2022-12,111.0
Kisumu,2023-01,2.0
Kisumu,2023-02,27.5
Kisumu,2023-03,182.5
Kisumu,2023-04,196.1
Kisumu,2023-05,54.3
Kisumu,2023-06,28.5
Kisumu,2023-07,26.5
Kisumu,2023-08,29.9
Kisumu,2023-09,76.3
Kisumu,2023-10,103.5
Kisumu,2023-11,161.8
Kisumu,2023-12,90.30000000000001
Kisumu,2024-01,154.4
Kisumu,2024-02,41.199999999999996
Kisumu,2024-03,44.2
Kisumu,2024-04,126.3
Kisumu,2024-05,54.0
Kisumu,2024-06,32.5
Kisumu,2024-07,76.3
Kisumu,2024-08,37.6
Kisumu,2024-09,57.5
Kisumu,2024-10,83.0
Kisumu,2024-11,180.6
Kisumu,2024-12,89.5
Kitale,2022-01,26.3
Kitale,2022-02,13.1
Kitale,2022-03,28.4
Kitale,2022-04,187.20000000000002
Kitale,2022-05,209.8
Kitale,2022-06,124.6
Kitale,2022-07,160.8
Kitale,2022-08,277.7
Kitale,2022-09,154.9
Kitale,2022-10,127.3
Kitale,2022-11,78.7
Kitale,2022-12,59.7
Kitale,2023-01,4.3
Kitale,2023-02,0.4
Kitale,2023-03,142.6
Kitale,2023-04,183.6
Kitale,2023-05,80.4
Kitale,2023-06,92.7
Kitale,2023-07,78.9
Kitale,2023-08,86.89999999999999
Kitale,2023-09,150.1
Kitale,2023-10,135.5
Kitale,2023-11,198.1
Kitale,2023-12,34.7
Kitale,2024-01,67.9
Kitale,2024-02,31.8
Kitale,2024-03,37.8
Kitale,2024-04,203.1
Kitale,2024-05,157.1
Kitale,2024-06,70.3
Kitale,2024-07,193.1
Kitale,2024-08,162.5
Kitale,2024-09,115.3
Kitale,2024-10,105.6
Kitale,2024-11,209.7
Kitale,2024-12,14.3
Kitenkela,2022-01,23.4
Kitenkela,2022-02,20.5
Kitenkela,2022-03,12.6
Kitenkela,2022-04,90.9
Kitenkela,2022-05,22.6
Kitenkela,2022-06,7.6
Kitenkela,2022-07,6.5
Kitenkela,2022-08,12.8
Kitenkela,2022-09,11.700000000000001
Kitenkela,2022-10,17.7
Kitenkela,2022-11,110.7
Kitenkela,2022-12,54.1
Kitenkela,2023-01,8.1
Kitenkela,2023-02,1.1
Kitenkela,2023-03,88.9
Kitenkela,2023-04,116.3
Kitenkela,2023-05,65.5
Kitenkela,2023-06,16.2
