time,precipitation_sum (mm),,,,,town
31/10/2023,8.1,,,,,Nairobi
01/11/2023,3.1,,,,,Nairobi
02/11/2023,4.8,,,,,Nairobi
03/11/2023,22.8,,,,,Nairobi
04/11/2023,11.8,,,,,Nairobi
05/11/2023,3.5,,,,,Nairobi
06/11/2023,4.7,,,,,Nairobi
07/11/2023,12.4,,,,,Nairobi
08/11/2023,4.6,,,,,Nairobi
09/11/2023,0.5,,,,,Nairobi
10/11/2023,4.1,,,,,Nairobi
11/11/2023,3.8,,,,,Nairobi
12/11/2023,11.9,,,,,Nairobi
13/11/2023,4.6,,,,,Nairobi
14/11/2023,1.8,,,,,Nairobi
